metab_id	Metabolite	Compound	ID	m/z	Retention time	Mode	Adducts	Formula	Fragmentation Score	Theoretical Fragmentation Score	level	Mass Error (ppm)	KEGG Compound ID	Library ID	compound_source	CAS ID	drugbank_id	drugbank	Score	SMILES	ORG_1	ORG_2	ORG_3	ORG_4	ORG_5	ORG_6	ORG_7	ORG_8	ORG_9	ELC_1	ELC_2	ELC_3	ELC_4	ELC_5	ELC_6	ELC_7	ELC_8	ELC_9	ELC_10	ELC_11	CON_1	CON_2	CON_3	CON_4	CON_5	CON_6	CON_7	CON_8	CON_9	CON_10	QC01	QC02	QC03
metab_2642	metab_2642	2.75_409.1605m/z	pos_2643	409.1604917	2.74875	pos	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5.152229004	5.183828017	5.293863854	4.971393858	4.76027058	4.801559132	5.093414544	5.06653827	5.144322225	5.234746594	4.931339594	5.245724515	5.145016259	5.091612045	5.148487885	4.802045289	5.120972331	5.044963102	5.203563977	5.013336579	5.101382735	5.336031663	5.167039367	5.185593467	5.228303824	5.151403979	5.076058926	4.741337066	4.66165946	4.885013838	5.148761658	5.101877677	5.123084378
metab_2643	metab_2643	2.74_889.1945m/z	pos_2644	889.1945229	2.740966667	pos	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5.911588504	5.893041348	5.936992784	5.619449958	6.02451057	5.792506628	5.755282196	5.444547506	5.681207354	5.682916394	5.915911289	5.314198161	6.197081839	5.774946217	5.947148753	5.60797631	5.729701316	5.968691951	6.058880982	5.840587854	5.813507523	6.217584498	6.339939375	5.759761986	5.736431198	5.871381902	6.102422894	6.12255032	5.980566511	6.04316304	5.918809772	5.894609809	5.917669024
metab_2644	Proanthocyanidin A2	2.74_577.1349m/z	pos_2645	577.1349227	2.740966667	pos	M+H	C30H24O12	0	49.6	B(ii)	1.510132176	_;C10237	HMDB0037655	-	41743-41-3;_	-	-	46.2	OC1=CC2=C(C(O)=C1)C1C3=C(C=C(O)C4=C3OC(C3=CC=C(O)C(O)=C3)C(O)C4)OC(C3=CC(O)=C(O)C=C3)(O2)C1O	6.211114541	6.110864263	6.109498085	5.898985453	6.257406809	6.11893328	5.991542193	5.796464559	6.015885706	5.931272083	6.192915209	5.949548883	6.389600982	5.962760638	6.026482026	5.9575789	6.044250806	6.123013983	6.168660185	6.015746264	5.991023523	6.360392722	6.516595621	5.954361576	5.816584288	6.047898344	6.228744073	6.432578382	6.196926621	6.291290775	6.154035956	6.187381567	6.098147906
metab_2647	"3',4'-(Methylenedioxy)Acetophenone"	2.73_165.0547m/z	pos_2648	165.0546703	2.72545	pos	M+H	C9H8O3	45.8	0	B(i)	0.303073707	-	-	-	-	-	-	47.5	CC(=O)C1=CC2=C(C=C1)OCO2	5.754716396	5.749972187	5.793375431	5.755109944	5.703176055	5.840227725	5.483202164	5.536783905	5.344359948	5.572831764	5.516838257	5.544788829	5.72850534	5.545529203	5.664807236	5.746179858	5.647061754	5.553053719	5.674601142	5.596195486	5.81456733	5.626004592	5.713687669	5.68132663	5.635174705	5.797861707	5.570493442	5.73842727	5.614960222	5.635972862	5.701454019	5.667257588	5.670185112
metab_2648	metab_2648	2.72_293.0914m/z	pos_2649	293.0914146	2.717866667	pos	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5.312294531	5.337845026	5.223616979	4.882517344	5.260438784	5.247285783	5.144064322	4.985423846	5.20646175	5.156124945	5.307967954	5.063184221	5.329490134	4.987355904	5.009279527	5.22256264	5.111534659	5.23038848	5.17807319	5.210171797	5.246684659	5.324465996	5.40489677	5.033646334	4.747155317	5.111887346	5.366753275	5.488122047	5.419356227	5.358978382	5.237464666	5.2183439	5.11152027
metab_2649	metab_2649	2.72_273.1807m/z	pos_2650	273.1807081	2.717866667	pos	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5.844884184	5.705229345	5.591835763	5.075518156	4.71624957	5.044220077	5.720238146	5.728216557	5.812396764	5.71039367	5.739362651	5.726061775	5.535721241	5.736283964	5.232812032	5.983649924	5.996527055	5.839897277	5.56086428	5.91083669	5.616998792	5.57280354	5.094729147	5.802929359	5.915486473	5.809077111	5.380386736	5.438665285	5.461539499	5.376528353	5.684061145	5.726599116	5.693036523
metab_2650	Ent-Epicatechin-(4Alpha->6)-Ent-Epicatechin	2.71_579.1500m/z	pos_2651	579.1499551	2.71005	pos	M+H	C30H26O12	0	70.5	B(ii)	0.436622025	-	HMDB0041239	-	-	-	-	53.3	OC1=CC(O)=C2C(=C1)OC(C1=CC(O)=C(O)C=C1)C(O)C2C1=C(O)C2=C(C=C1O)OC(C1=CC(O)=C(O)C=C1)C(O)C2	8.47377263	8.470428043	8.433818853	8.225098877	8.48247308	8.386146043	8.39771804	8.255312815	8.434931697	8.359855123	8.447905046	8.222357607	8.587402479	8.279993998	8.390231291	8.31145204	8.387066529	8.441492102	8.440382945	8.389526236	8.367127451	8.533102966	8.676576591	8.366141492	8.26660761	8.415708437	8.478063924	8.649077694	8.501134375	8.554239694	8.421089538	8.433870031	8.431813315
metab_2651	Sinapyl Alcohol	2.71_193.0861m/z	pos_2652	193.0860801	2.71005	pos	M+H-H2O	C11H14O4	88.8	0	B(i)	0.758657215	C02325	HMDB0013070	-	537-33-7	-	-	56	COC1=CC(C=CCO)=CC(OC)=C1O	4.896177315	5.051666439	4.965130798	4.162542052	4.478061834	4.79948905	4.976596604	5.115204541	5.185883382	5.014957451	4.934383713	5.123557808	5.55423722	5.04278575	5.418310029	4.45626007	4.990091299	4.999435244	5.415779587	4.85166103	5.004500314	5.248828639	6.003060895	4.988241441	4.978158838	5.090930689	4.729274732	5.203662433	5.07546881	4.965730819	5.170386684	5.158197701	5.107984688
metab_2652	metab_2652	2.71_133.0649m/z	pos_2653	133.0648647	2.71005	pos	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3.955494067	4.234975047	3.758582451	3.336426181	3.465254988	3.34728903	4.292245935	4.333378487	4.785192903	4.24337457	3.643527539	4.173027094	4.735180612	4.285786301	4.565212372	3.41271438	3.624614142	4.101351556	4.562243065	4.028089846	3.48787311	4.307487811	5.113386966	4.004482517	3.936780629	4.013451719	3.908965058	4.423141314	4.230490751	4.298795951	4.444725698	4.415341778	4.375228247
metab_2653	metab_2653	2.70_783.2395m/z	pos_2654	783.2395155	2.702233333	pos	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6.355977129	6.168171632	5.885941073	5.120995286	6.225364527	6.096574939	6.306908781	5.927169039	6.321666916	6.088182829	6.283482131	5.844648367	6.169345257	6.146907127	5.697422181	5.830419492	6.087705818	6.11967136	6.15385047	5.975744713	6.066587804	5.96694489	6.322416068	6.050604126	5.858589385	5.860863294	5.595731866	6.160597267	5.950709411	5.954343498	6.068326996	6.058212381	6.0761541
metab_2654	metab_2654	2.70_427.1023m/z	pos_2655	427.1023417	2.702233333	pos	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6.550835032	6.546546884	6.484849106	6.289892229	6.575767711	6.448272954	6.455601483	6.291085901	6.476248312	6.410849435	6.519073213	6.225610852	6.641718925	6.303088713	6.418403826	6.33131391	6.435563954	6.474199404	6.49432096	6.443886783	6.381240359	6.578459423	6.730311224	6.410336285	6.243185558	6.458573397	6.570793062	6.736189528	6.58143675	6.622955243	6.502295137	6.4913007	6.495243891
metab_2655	metab_2655	2.70_381.0794m/z	pos_2656	381.0793994	2.702233333	pos	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.193834123	2.187899935	2.176360585	6.165187987	5.992668874	6.071367566	3.986799372	4.105421525	4.349197478	2.183003665	4.998669405	5.494492241	4.854031998	5.41532059	5.601179977	4.508797631	4.560838408	4.777067377	5.423823849	4.703724771	5.795560529	4.989594978	2.743915839	2.176547292	2.178145566	5.492618456	5.749803918	5.290207639	2.213741266	5.332259507	5.445393745	5.303762818	5.383909832
metab_2656	Dethiobiotin	2.70_253.0930m/z	pos_2657	253.0930009	2.702233333	pos	M+K	C10H18N2O3	0	60.5	B(ii)	-8.871245038	C01909	HMDB0003581	-	533-48-2	DB03775	drug	48.2	CC1NC(=O)NC1CCCCCC(=O)O	5.24139733	5.090171284	5.145451115	4.566774495	4.765075492	4.315908085	5.368634657	5.420088588	5.171070449	4.800638781	4.795529549	4.955645745	5.210838287	4.906396868	4.980790575	4.822812702	5.006186167	5.289835288	5.074456858	5.16687115	4.975916936	5.060007576	5.070147854	5.478211743	5.436784531	5.227958971	5.406563	4.819570058	4.767137263	5.066390903	5.161951883	5.147440093	5.105463897
metab_2657	metab_2657	2.70_134.0813m/z	pos_2658	134.0812602	2.702233333	pos	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4.408315478	4.496455501	4.544053396	4.933879738	4.831142823	4.724624784	4.757079094	4.696441616	4.837652206	4.866483028	4.912314819	5.263282338	4.815023863	4.858629299	4.795746217	4.660628442	4.799763841	4.813626302	4.813747894	4.804017784	4.721960748	4.696263749	4.608385996	4.749286599	4.701159751	4.739584207	4.760740508	4.275430261	4.6028263	4.674205849	4.725694035	4.756720816	4.771002025
metab_2658	metab_2658	2.69_462.2335m/z	pos_2659	462.2334678	2.694483333	pos	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5.757981369	5.677993447	5.593185993	5.807394775	5.67369272	5.595132998	5.898827378	5.712451475	6.159721649	5.42238894	5.821455594	5.784293818	5.760833115	5.691389787	5.726299733	5.133447489	5.431346888	5.729568669	5.700359549	5.603639445	5.575868368	5.766664062	5.983743481	5.562283686	5.432381308	5.656897688	5.698079324	5.795993789	5.742006436	5.799453562	5.665536167	5.776774189	5.748507738
metab_2659	"[2-Acetyl-4-(1,2-Dihydroxypropyl)Phenyl] 1,3-Benzodioxole-5-Carboxylate"	2.69_376.1390m/z	pos_2660	376.1390107	2.694483333	pos	M+NH4	C19H18O7	35.1	0	B(i)	-0.189207579	-	-	-	-	-	-	45.5	CC(=O)C1=C(OC(=O)C2=CC3=C(C=C2)OCO3)C=CC(C(O)C(C)O)=C1	6.264788682	6.404956144	6.461847372	6.375864459	6.24184962	6.046075815	6.15414696	6.677191023	5.604320611	6.535667029	6.034300447	6.302602035	6.466641394	6.520907408	6.396082782	6.281646093	6.279261873	7.16619011	6.456742061	6.890427725	6.217698806	6.807528059	6.408569295	6.375682023	6.893431926	6.65733402	6.245147046	6.375521242	6.231900328	6.267607375	6.506195248	6.491390404	6.484707618
metab_2660	metab_2660	2.69_279.1372m/z	pos_2661	279.1372159	2.686766667	pos	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5.637636602	5.816673639	5.911231172	6.024435653	5.908224788	5.930677137	5.541119516	5.301904755	5.104637888	5.506052654	5.829043126	5.939819659	5.895637797	5.67225344	5.969369683	5.57759392	5.579104406	5.496646305	5.85404209	5.456436873	5.767901524	5.860131494	5.923566177	5.816326474	5.976093204	5.870800396	5.973659987	5.995587067	5.870637005	5.91956802	5.852682999	5.824601107	5.824452657
metab_2661	Scopolin	2.68_387.1263m/z	pos_2662	387.126309	2.67895	pos	M+CH3OH+H	C16H18O9	0	54.5	B(ii)	-6.394589589	C01527;_	HMDB0303366	-	531-44-2;_	-	-	46.3	COC1=C(OC2OC(CO)C(O)C(O)C2O)C=C2OC(=O)C=CC2=C1	5.722880693	5.38034095	5.263692797	4.999385949	4.948754447	4.975377019	5.019126543	5.432865557	5.035222054	4.756646075	4.060441469	5.319485004	5.832887538	5.695514682	5.941627597	5.064854749	5.398814702	4.54122086	5.818422639	4.963791925	5.388669949	5.945660525	5.812182842	5.851155806	5.782459803	5.84789011	5.159455384	4.682310036	4.117460899	4.77119007	5.506718589	5.438979097	5.473724219
metab_2662	Peg N7	2.68_344.2278m/z	pos_2663	344.2278452	2.67895	pos	M+NH4	C14H30O8	96.1	0	B(i)	-0.148066452	-	-	-	-	-	-	58.4	OCCOCCOCCOCCOCCOCCOCCO	6.721716352	6.721400704	6.633363768	6.795223958	6.62618122	6.836802103	6.911383812	6.642250904	6.734511759	6.747313318	6.813650208	6.743546329	6.694502431	6.588700107	6.524119872	6.722957814	6.736023869	6.625914645	6.577670298	6.670077862	6.631289023	6.667547973	6.83282416	6.711615878	6.824422675	6.498227419	6.521948655	6.586658771	6.813101134	6.646265827	6.717335395	6.716032683	6.707597512
metab_2663	Sulthiame	2.67_323.0737m/z	pos_2664	323.0737155	2.671283333	pos	M+CH3OH+H	C10H14N2O4S2	53.7	0	B(i)	2.501038187	-	HMDB0258622	nonnatural	-	-	-	47.4	NS(=O)(=O)C1=CC=C(N2CCCCS2(=O)=O)C=C1	6.867604345	6.735615317	6.675254886	7.071790748	6.950801762	6.864604056	6.612188577	6.544510744	6.373834853	6.786681045	6.68296892	6.712099577	6.876674084	6.858123554	6.961153456	6.78663139	6.757159196	6.718631685	6.906152942	6.735286327	6.935873292	6.916029626	6.880332249	7.032411693	6.950657739	6.777300777	6.834464106	6.365737713	6.720818506	6.639093272	6.825023477	6.804544442	6.806000986
metab_2664	"(1S,4S)-1,4,6,8-Tetrahydroxy-1,2,3,4-Tetrahydroxanthen-9-One"	2.67_247.0600m/z	pos_2665	247.0600228	2.671283333	pos	M+H-H2O	C13H12O6	70.7	0	B(i)	-0.291695909	-	-	-	-	-	-	52.6	O=C1C2=C(OC3=CC(O)=CC(O)=C13)C(O)CCC2O	6.216649807	6.190816142	6.054286614	5.689122973	5.774571581	5.721035739	6.571283676	6.585936187	6.721888897	5.901707102	5.97688769	6.081395126	6.096707159	6.018232266	5.917254379	6.012044359	6.192500396	6.241582385	5.981619557	6.17585508	5.741175415	5.954566679	6.007842557	6.184052247	6.228773259	6.293030909	6.1540328	6.093673559	6.294104641	6.159011391	6.130968163	6.147498932	6.127658459
metab_2666	Oxytetracycline	2.66_493.1814m/z	pos_2667	493.1814018	2.66365	pos	M+CH3OH+H	C22H24N2O9	0	56.4	B(ii)	-0.586246736	C06624	HMDB0014733	-	79-57-2;	-	-	48.9	CN(C)C1C(=O)C(C(N)=O)=C(O)C2(O)C(=O)C3=C(O)C4=C(C=CC=C4O)C(C)(O)C3C(O)C12	6.138885985	6.383187801	6.382623177	6.094921629	5.867383487	5.73803476	5.79643481	6.489015674	5.685862854	6.280686531	5.986822861	6.165693987	6.361278742	6.0953367	6.383744545	6.554476738	6.48217506	6.44268859	6.35768064	6.490347186	6.200388668	6.419154162	6.222692151	6.294862154	6.266837465	6.419455896	6.157046317	5.847730184	5.89754979	5.946772427	6.279622892	6.295484714	6.281092826
